national_number,gen,english_name,description,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,is_sublegendary,is_legendary,is_mythical,evo1,evo1_target,evo2,evo2_target,evo3,evo3_target
1,I,Bulbasaur,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,grass,poison,Seed Pokémon,88.14,11.86,0.7,6.9,45,5120,45,49,49,65,65,45,Overgrow,,,Chlorophyll,0,0,0,16,Ivysaur,,,,
2,I,Ivysaur,When the bulb on its back grows large it appears to lose the ability to stand on its hind legs.,grass,poison,Seed Pokémon,88.14,11.86,1,13,45,5120,60,62,63,80,80,60,Overgrow,,,Chlorophyll,0,0,0,36,Venusaur,,,,
3,I,Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,grass,poison,Seed Pokémon,88.14,11.86,2,100,45,5120,80,82,83,100,100,80,Overgrow,,,Chlorophyll,0,0,0,,,,,,
4,I,Charmander,It has a preference for hot things. When it rains steam is said to spout from the tip of its tail.,fire,,Lizard Pokémon,88.14,11.86,0.6,8.5,45,5120,39,52,43,60,50,65,Blaze,,,Solar Power,0,0,0,16,Charmeleon,,,,
5,I,Charmeleon,It has a barbaric nature. In battle it whips its fiery tail around and slashes away with sharp claws.,fire,,Flame Pokémon,88.14,11.86,1.1,19,45,5120,58,64,58,80,65,80,Blaze,,,Solar Power,0,0,0,36,Charizard,,,,
6,I,Charizard,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,fire,flying,Flame Pokémon,88.14,11.86,1.7,90.5,45,5120,78,84,78,109,85,100,Blaze,,,Solar Power,0,0,0,,,,,,
7,I,Squirtle,When it retracts its long neck into its shell it squirts out water with vigorous force.,water,,Tiny Turtle Pokémon,88.14,11.86,0.5,9,45,5120,44,48,65,50,64,43,Torrent,,,Rain Dish,0,0,0,16,Wartortle,,,,
8,I,Wartortle,It is recognized as a symbol of longevity. If its shell has algae on it that Wartortle is very old.,water,,Turtle Pokémon,88.14,11.86,1,22.5,45,5120,59,63,80,65,80,58,Torrent,,,Rain Dish,0,0,0,36,Blastoise,,,,
9,I,Blastoise,It crushes its foe under its heavy body to cause fainting. In a pinch it will withdraw inside its shell.,water,,Shellfish Pokémon,88.14,11.86,1.6,85.5,45,5120,79,83,100,85,105,78,Torrent,,,Rain Dish,0,0,0,,,,,,
10,I,Caterpie,For protection it releases a horrible stench from the antenna on its head to drive away enemies.,bug,,Worm Pokémon,50.2,49.8,0.3,2.9,255,3840,45,30,35,20,20,45,Shield Dust,,,Run Away,0,0,0,7,Metapod,,,,
11,I,Metapod,It is waiting for the moment to evolve. At this stage it can only harden so it remains motionless to avoid attack.,bug,,Cocoon Pokémon,50.2,49.8,0.7,9.9,120,3840,50,20,55,25,25,30,Shed Skin,,,,0,0,0,10,Butterfree,,,,
12,I,Butterfree,In battle it flaps its wings at great speed to release highly toxic dust into the air.,bug,flying,Butterfly Pokémon,50.2,49.8,1.1,32,45,3840,60,45,50,90,80,70,Compoundeyes,,,Tinted Lens,0,0,0,,,,,,
13,I,Weedle,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,bug,poison,Hairy Pokémon,50,50,0.3,3.2,255,3840,40,35,30,20,20,50,Shield Dust,,,Run Away,0,0,0,7,Kakuna,,,,
14,I,Kakuna,Able to move only slightly. When endangered it may stick out its stinger and poison its enemy.,bug,poison,Cocoon Pokémon,50,50,0.6,10,120,3840,45,25,50,25,25,35,Shed Skin,,,,0,0,0,10,Beedrill,,,,
15,I,Beedrill,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,bug,poison,Poison Bee Pokémon,50,50,1,29.5,45,3840,65,90,40,45,80,75,Swarm,,,Sniper,0,0,0,,,,,,
16,I,Pidgey,Very docile. If attacked it will often kick up sand to protect itself rather than fight back.,normal,flying,Tiny Bird Pokémon,50,50,0.3,1.8,255,3840,40,45,40,35,35,56,Keen Eye,Tangled Feet,,Big Pecks,0,0,0,18,Pidgeotto,,,,
17,I,Pidgeotto,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,normal,flying,Bird Pokémon,50,50,1.1,30,120,3840,63,60,55,50,50,71,Keen Eye,Tangled Feet,,Big Pecks,0,0,0,36,Pidgeot,,,,
18,I,Pidgeot,This Pokémon flies at Mach 2 speed seeking prey. Its large talons are feared as wicked weapons.,normal,flying,Bird Pokémon,50,50,1.5,39.5,45,3840,83,80,75,70,70,101,Keen Eye,Tangled Feet,,Big Pecks,0,0,0,,,,,,
19,I,Rattata,Will chew on anything with its fangs. If you see one you can be certain that 40 more live in the area.,normal,dark,Mouse Pokémon,50,50,0.3,3.5,255,3840,30,56,35,25,35,72,Run Away,Guts,,Hustle,0,0,0,20,Raticate,,,,
20,I,Raticate,Its hind feet are webbed. They act as flippers so it can swim in rivers and hunt for prey.,normal,dark,Mouse Pokémon,50,50,0.7,18.5,127,3840,55,81,60,50,70,97,Run Away,Guts,,Hustle,0,0,0,,,,,,
21,I,Spearow,Inept at flying high. However it can fly around very fast to protect its territory.,normal,flying,Tiny Bird Pokémon,50,50,0.3,2,255,3840,40,60,30,31,31,70,Keen Eye,,,Sniper,0,0,0,20,Fearow,,,,
22,I,Fearow,A Pokémon that dates back many years. If it senses danger it flies high and away instantly.,normal,flying,Beak Pokémon,50,50,1.2,38,90,3840,65,90,65,61,61,100,Keen Eye,,,Sniper,0,0,0,,,,,,
23,I,Ekans,The older it gets the longer it grows. At night it wraps its long body around tree branches to rest.,poison,,Snake Pokémon,50,50,2,6.9,255,5120,35,60,44,40,54,55,Intimidate,Shed Skin,,Unnerve,0,0,0,22,Arbok,,,,
24,I,Arbok,The frightening patterns on its belly have been studied. Six variations have been confirmed.,poison,,Cobra Pokémon,50,50,3.5,65,90,5120,60,95,69,65,79,80,Intimidate,Shed Skin,,Unnerve,0,0,0,,,,,,
25,I,Pikachu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,electric,,Mouse Pokémon,50.2,49.8,0.4,6,190,2560,35,55,40,50,50,90,Static,,,Lightning Rod,0,0,0,-4,Raichu,,,,
26,I,Raichu,Its long tail serves as a ground to protect itself from its own high-voltage power.,electric,electric,Mouse Pokémon,50.2,49.8,0.8,30,75,2560,60,90,55,90,80,110,Static,Surge Surfer (Alola Form),,Lightning Rod,0,0,0,,,,,,
27,I,Sandshrew,It loves to bathe in the grit of dry sandy areas. By sand bathing the Pokémon rids itself of dirt and moisture clinging to its body.,ground,ice,Mouse Pokémon,50.2,49.8,0.6,12,255,5120,50,75,85,20,30,40,Sand Veil,,,Snow Cloak- Slush Rush,0,0,0,22,Sandslash,,,,
28,I,Sandslash,The drier the area Sandslash lives in the harder and smoother the Pokémon’s spikes will feel when touched.,ground,ice,Mouse Pokémon,50.2,49.8,1,29.5,90,5120,75,100,110,45,55,65,Sand Veil,,,Snow Cloak- Slush Rush,0,0,0,,,,,,
29,I,Nidoran-F,Females are more sensitive to smells than males. While foraging they’ll use their whiskers to check wind direction and stay downwind of predators.,poison,,Poison Pin Pokémon,0,100,0.4,7,235,5120,55,47,52,40,40,41,Poison Point,Rivalry,,Hustle,0,0,0,16,Nidorina,,,,
30,I,Nidorina,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,poison,,Poison Pin Pokémon,0,100,0.8,20,120,5120,70,62,67,55,55,56,Poison Point,Rivalry,,Hustle,0,0,0,-5,Nidoqueen,,,,
31,I,Nidoqueen,Nidoqueen is better at defense than offense. With scales like armor this Pokémon will shield its children from any kind of attack.,poison,ground,Drill Pokémon,0,100,1.3,60,45,5120,90,92,87,75,85,76,Poison Point,Rivalry,,Sheer Force,0,0,0,,,,,,
32,I,Nidoran-M,The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon always straining its large ears.,poison,,Poison Pin Pokémon,100,0,0.5,9,235,5120,46,57,40,40,40,50,Poison Point,Rivalry,,Hustle,0,0,0,16,Nidorino,,,,
33,I,Nidorino,With a horn that’s harder than diamond this Pokémon goes around shattering boulders as it searches for a moon stone.,poison,,Poison Pin Pokémon,100,0,0.9,19.5,120,5120,61,72,57,55,55,65,Poison Point,Rivalry,,Hustle,0,0,0,-5,Nidoking,,,,
34,I,Nidoking,When it goes on a rampage it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time Nidoking calms down.,poison,ground,Drill Pokémon,100,0,1.4,62,45,5120,81,102,77,85,75,85,Poison Point,Rivalry,,Sheer Force,0,0,0,,,,,,
35,I,Clefairy,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,fairy,,Fairy Pokémon,24.9,75.1,0.6,7.5,150,2560,70,45,48,60,65,35,Cute Charm,Magic Guard,,Friend Guard,0,0,0,-5,Clefable,,,,
36,I,Clefable,A timid fairy Pokémon that is rarely seen it will run and hide the moment it senses people.,fairy,,Fairy Pokémon,24.9,75.1,1.3,40,25,2560,95,70,73,95,90,60,Cute Charm,Magic Guard,,Unaware,0,0,0,,,,,,
37,I,Vulpix,While young it has six gorgeous tails. When it grows several new tails are sprouted.,fire,ice,Fox Pokémon,24.9,75.1,0.6,9.9,190,5120,38,41,40,50,65,65,Flash Fire,,,Snow Cloak- Snow Warning,0,0,0,-1,Ninetales,,,,
38,I,Ninetales,It is said to live 1000 years and each of its tails is loaded with supernatural powers.,fire,ice,Fox Pokémon,24.9,75.1,1.1,19.9,75,5120,73,76,75,81,100,100,Flash Fire,,,Snow Cloak- Snow Warning,0,0,0,,,,,,
39,I,Jigglypuff,Jigglypuff has top-notch lung capacity even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.,normal,fairy,Balloon Pokémon,24.9,75.1,0.5,5.5,170,2560,115,45,20,45,25,20,Cute Charm,Competitive,,Friend Guard,0,0,0,-5,Wigglytuff,,,,
40,I,Wigglytuff,The more air it takes in the more it inflates. If opponents catch it in a bad mood it will inflate itself to an enormous size to intimidate them.,normal,fairy,Balloon Pokémon,24.9,75.1,1,12,50,2560,140,70,45,85,50,45,Cute Charm,Competitive,,Frisk,0,0,0,,,,,,
41,I,Zubat,It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves Zubat flies around with skill.,poison,flying,Bat Pokémon,50.2,49.8,0.8,7.5,255,3840,40,45,35,30,40,55,Inner Focus,,,Infiltrator,0,0,0,22,Golbat,,,,
42,I,Golbat,It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry it sometimes shares the blood it’s gathered.,poison,flying,Bat Pokémon,50.2,49.8,1.6,55,90,3840,75,80,70,65,75,90,Inner Focus,,,Infiltrator,0,0,0,-7,Crobat,,,,
